id,name,Fibres,Starch,Protein,Lightbulks,Spices,Alliums,Fruittops,Seeds,Nuts,Bread,Cheesetops,Herbs,OtherTops,Oils,Fats,LiquidAromas,Glutenfree,Vegan,Vegetarian,LactoseFree,Diabetic,NutFree,FODMAPS,Umami,Sweet,Bitter,Sour,Salty,Spicy,Crunchy,AromaBomb,FRUITY,GREEN,FLORAL,SULFUROUS,HERBAL,AROMATIC_SPICY,WOODY,NUTTY,ROASTED,SMOKEY,CITRUS,MEATY,MARINE,CREAMY,CHEESY,Spring,Summer,Fall,Winter,Mediterranean,SouthAsian,EastAsian,LatinAmerican,European,MiddleEastern,Exotic,SlowAndDeep,FastAndFresh,Sofrito,Taco,Aromatics,Boil,Raw,Dressing,Toasting,Sour_map,Umami_map,Sweet_map,Bitter_map,Crunch_map,OilAndFat_map,Pungency_map,Spices_map,Herbs_map,Cheese_map,Alliums_map,Beverages_map,Fruits_map,FillingVeggies_map,Vegetables_map,MeatAndFish_map,Baking_map,Sour_wheel,Umami_wheel,Oil_wheel,Crunch_wheel,Sweet_wheel,Aroma_wheel,Fresh_wheel,Soft_wheel,Bitter_wheel,Spicy_wheel,common_en,common_da,common_de,common_es,has_icon
1,acorn squash,x,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,x,,,,,,,,x,x,,,,,x,x,,,,,,,,,,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,x
2,agave nectar,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,x,,,,,,,x,,x,,x,,,,,,,,,,,,,,,,,x,x,x,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,x
3,allspice,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,,,x,x,,,,,,,,,,,,,,x,,x,x,x,x,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x
4,almond,,,,,,,,,x,,,,,,,,x,x,x,x,x,,x,,,,,,,x,,,,,,,,x,x,x,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,x,x,x,x,x
5,almond milk,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,x,x,x,x
6,aniseed,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x
7,anise,,,,,x,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,,,,x,,,x,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,x,,,x,,x,x,x,x,x
8,apple,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,,x,,x,,,x,x,x,x,x,,x,,x,,,,x,,,,,,,,,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,,x,x,x,x,x
10,apple cider vinegar,,,,,,,,,,,,,,,,x,x,x,x,x,x,x,,,,,x,,,,,x,x,x,,,,,,,,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,x,x,x,x,x
11,apricot,,,,,,,x,,,,,,,,,,x,x,x,x,x,x,x,,x,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,x,,x,,,,,,,,x
